Date,Open,High,Low,Close,Adj Close,Volume
15-11-19,11904.2002,11973.65039,11879.25,11895.4502,11895.4502,580200
18-11-19,11915.15039,11946.2002,11867.59961,11884.5,11884.5,514400
19-11-19,11919.4502,11958.84961,11881.75,11940.09961,11940.09961,613900
20-11-19,12004.75,12038.59961,11966.04981,11999.09961,11999.09961,646700
21-11-19,12025.65039,12028.2002,11956.90039,11968.40039,11968.40039,557700
22-11-19,11967.29981,11968.09961,11883.5,11914.40039,11914.40039,486800
25-11-19,11922.4502,12084.5,11919.75,12073.75,12073.75,534300
26-11-19,12110.2002,12132.4502,12006.34961,12037.7002,12037.7002,1201300
27-11-19,12068.5,12114.90039,12055.15039,12100.7002,12100.7002,584200
28-11-19,12132.09961,12158.79981,12099.9502,12151.15039,12151.15039,620500
29-11-19,12146.2002,12147.40039,12017.40039,12056.04981,12056.04981,804400
02-12-19,12137.04981,12137.15039,12023.7002,12048.2002,12048.2002,720900
03-12-19,12067.65039,12068.59961,11956.40039,11994.2002,11994.2002,605800
04-12-19,11969.9502,12054.7002,11935.29981,12043.2002,12043.2002,747200
05-12-19,12071.25,12081.2002,11998.75,12018.40039,12018.40039,562200
06-12-19,12047.34961,12057.04981,11888.84961,11921.5,11921.5,609200
09-12-19,11939.09961,11981.9502,11888.04981,11937.5,11937.5,599100
10-12-19,11950.5,11953.2002,11844.7002,11856.79981,11856.79981,650200
11-12-19,11867.34961,11923.2002,11832.29981,11910.15039,11910.15039,997700
12-12-19,11944.29981,12005.5,11934,11971.79981,11971.79981,752600
13-12-19,12026.40039,12098.84961,12023.59961,12086.7002,12086.7002,597700
16-12-19,12131.34961,12134.65039,12046.29981,12053.9502,12053.9502,437700
17-12-19,12082.4502,12182.75,12070.34961,12165,12165,499600
18-12-19,12197,12237.7002,12163.4502,12221.65039,12221.65039,518900
19-12-19,12223.40039,12268.34961,12191.15039,12259.7002,12259.7002,623100
20-12-19,12266.4502,12293.90039,12252.75,12271.79981,12271.79981,810700
23-12-19,12235.4502,12287.15039,12213.25,12262.75,12262.75,604800
24-12-19,12269.25,12283.7002,12202.09961,12214.54981,12214.54981,470300
26-12-19,12211.84961,12221.54981,12118.84961,12126.54981,12126.54981,520300
27-12-19,12172.90039,12258.4502,12157.90039,12245.79981,12245.79981,383800
30-12-19,12274.90039,12286.4502,12213.79981,12255.84961,12255.84961,411100
31-12-19,12247.09961,12247.09961,12151.79981,12168.4502,12168.4502,426900
01-01-20,12202.15039,12222.2002,12165.29981,12182.5,12182.5,304100
02-01-20,12198.54981,12289.90039,12195.25,12282.2002,12282.2002,407700
03-01-20,12261.09961,12265.59961,12191.34961,12226.65039,12226.65039,428800
06-01-20,12170.59961,12179.09961,11974.2002,11993.04981,11993.04981,396500
07-01-20,12079.09961,12152.15039,12005.34961,12052.9502,12052.9502,447800
08-01-20,11939.09961,12044.9502,11929.59961,12025.34961,12025.34961,446000
09-01-20,12153.15039,12224.04981,12132.54981,12215.90039,12215.90039,477500
10-01-20,12271,12311.2002,12213.2002,12256.79981,12256.79981,660600
13-01-20,12296.7002,12337.75,12285.79981,12329.54981,12329.54981,501000
14-01-20,12333.09961,12374.25,12308.7002,12362.29981,12362.29981,616300
15-01-20,12349.40039,12355.15039,12278.75,12343.29981,12343.29981,684400
16-01-20,12347.09961,12389.04981,12315.79981,12355.5,12355.5,395700
17-01-20,12328.40039,12385.4502,12321.40039,12352.34961,12352.34961,502100
20-01-20,12430.5,12430.5,12216.90039,12224.54981,12224.54981,491600
21-01-20,12195.29981,12230.04981,12162.29981,12169.84961,12169.84961,444000
22-01-20,12218.34961,12225.04981,12087.90039,12106.90039,12106.90039,500
23-01-20,12123.75,12189,12094.09961,12180.34961,12180.34961,867700
24-01-20,12174.54981,12272.15039,12149.65039,12248.25,12248.25,593200
25-01-20,12174.54981,12272.15039,12149.65039,12248.25,12248.25,593200
26-01-20,12174.54981,12272.15039,12149.65039,12248.25,12248.25,593200
27-01-20,12197.09961,12216.59961,12107,12119,12119,441200
28-01-20,12148.09961,12163.54981,12024.5,12055.79981,12055.79981,478500
29-01-20,12114.90039,12169.59961,12103.79981,12129.5,12129.5,514400
30-01-20,12147.75,12150.29981,12010.59961,12035.79981,12035.79981,538100
31-01-20,12100.40039,12103.54981,11945.84961,11962.09961,11962.09961,771300
01-02-20,12100.40039,12103.54981,11945.84961,11962.09961,11962.09961,771300
02-02-20,12100.40039,12103.54981,11945.84961,11962.09961,11962.09961,771300
03-02-20,11627.4502,11749.84961,11614.5,11707.90039,11707.90039,669800
04-02-20,11786.25,11986.15039,11783.40039,11979.65039,11979.65039,560400
05-02-20,12005.84961,12098.15039,11953.34961,12089.15039,12089.15039,758000
06-02-20,12120,12160.59961,12084.65039,12137.9502,12137.9502,565100
07-02-20,12151.15039,12154.7002,12073.9502,12098.34961,12098.34961,473500
08-02-20,12151.15039,12154.7002,12073.9502,12098.34961,12098.34961,473500
09-02-20,12151.15039,12154.7002,12073.9502,12098.34961,12098.34961,473500
10-02-20,12102.34961,12103.54981,11990.75,12031.5,12031.5,524700
11-02-20,12108.40039,12172.29981,12099,12107.90039,12107.90039,480000
12-02-20,12151,12231.75,12144.29981,12201.2002,12201.2002,411700
13-02-20,12219.54981,12225.65039,12139.79981,12174.65039,12174.65039,501200
14-02-20,12190.15039,12246.7002,12091.2002,12113.4502,12113.4502,622800
15-02-20,12190.15039,12246.7002,12091.2002,12113.4502,12113.4502,622800
16-02-20,12190.15039,12246.7002,12091.2002,12113.4502,12113.4502,622800
17-02-20,12131.79981,12159.59961,12037,12045.79981,12045.79981,0
18-02-20,12028.25,12030.75,11908.04981,11992.5,11992.5,676900
19-02-20,12090.59961,12134.7002,12042.09961,12125.90039,12125.90039,513600
20-02-20,12119,12152,12071.4502,12080.84961,12080.84961,502600
21-02-20,12119,12152,12071.4502,12080.84961,12080.84961,502600
22-02-20,12119,12152,12071.4502,12080.84961,12080.84961,502600
23-02-20,12119,12152,12071.4502,12080.84961,12080.84961,502600
24-02-20,12012.54981,12012.54981,11813.40039,11829.40039,11829.40039,490800
25-02-20,11877.5,11883.04981,11779.90039,11797.90039,11797.90039,461000
26-02-20,11738.54981,11783.25,11639.59961,11678.5,11678.5,567600
27-02-20,11661.25,11663.84961,11536.7002,11633.29981,11633.29981,608600
28-02-20,11382,11384.79981,11175.04981,11201.75,11201.75,809900
29-02-20,11382,11384.79981,11175.04981,11201.75,11201.75,809900
01-03-20,11387.34961,11433,11036.25,11132.75,11132.75,680800
02-03-20,11387.34961,11433,11036.25,11132.75,11132.75,680800
03-03-20,11217.54981,11342.25,11152.54981,11303.29981,11303.29981,696500
04-03-20,11351.34961,11356.59961,11082.15039,11251,11251,797700
05-03-20,11306.04981,11389.5,11244.59961,11269,11269,1352500
06-03-20,10942.65039,11035.09961,10827.40039,10989.4502,10989.4502,1811000
07-03-20,10942.65039,11035.09961,10827.40039,10989.4502,10989.4502,1811000
08-03-20,10942.65039,11035.09961,10827.40039,10989.4502,10989.4502,1811000
09-03-20,10742.04981,10751.54981,10294.4502,10451.4502,10451.4502,1565500
10-03-20,10742.04981,10751.54981,10294.4502,10451.4502,10451.4502,1565500
11-03-20,10334.29981,10545.09961,10334,10458.40039,10458.40039,1218500
12-03-20,10039.9502,10040.75,9508,9590.150391,9590.150391,1343500
13-03-20,9107.599609,10159.40039,8555.150391,9955.200195,9955.200195,1388000
14-03-20,9107.599609,10159.40039,8555.150391,9955.200195,9955.200195,1388000
15-03-20,9107.599609,10159.40039,8555.150391,9955.200195,9955.200195,1388000
16-03-20,9587.799805,9602.200195,9165.099609,9197.400391,9197.400391,897700
17-03-20,9285.400391,9403.799805,8915.599609,8967.049805,8967.049805,935600
18-03-20,9088.450195,9127.549805,8407.049805,8468.799805,8468.799805,1516600
19-03-20,8063.299805,8575.450195,7832.549805,8263.450195,8263.450195,925700
20-03-20,8284.450195,8883,8178.200195,8745.450195,8745.450195,1071500
21-03-20,8284.450195,8883,8178.200195,8745.450195,8745.450195,1071500
22-03-20,8284.450195,8883,8178.200195,8745.450195,8745.450195,1071500
23-03-20,7945.700195,8159.25,7583.600098,7610.25,7610.25,653500
24-03-20,7848.299805,8036.950195,7511.100098,7801.049805,7801.049805,738400
25-03-20,7735.149902,8376.75,7714.75,8317.849609,8317.849609,736900
26-03-20,8451,8749.049805,8304.900391,8641.450195,8641.450195,865600
27-03-20,8949.099609,9038.900391,8522.900391,8660.25,8660.25,801500
28-03-20,8949.099609,9038.900391,8522.900391,8660.25,8660.25,801500
29-03-20,8949.099609,9038.900391,8522.900391,8660.25,8660.25,801500
30-03-20,8385.950195,8576,8244,8281.099609,8281.099609,593300
31-03-20,8529.349609,8678.299805,8358,8597.75,8597.75,712700
01-04-20,8584.099609,8588.099609,8198.349609,8253.799805,8253.799805,506300
02-04-20,8584.099609,8588.099609,8198.349609,8253.799805,8253.799805,506300
03-04-20,8356.549805,8356.549805,8055.799805,8083.799805,8083.799805,697000
04-04-20,8356.549805,8356.549805,8055.799805,8083.799805,8083.799805,697000
05-04-20,8356.549805,8356.549805,8055.799805,8083.799805,8083.799805,697000
06-04-20,8356.549805,8356.549805,8055.799805,8083.799805,8083.799805,697000
07-04-20,8446.299805,8819.400391,8360.950195,8792.200195,8792.200195,814200
08-04-20,8688.900391,9131.700195,8653.900391,8748.75,8748.75,896500
09-04-20,8973.049805,9128.349609,8904.549805,9111.900391,9111.900391,742100
10-04-20,8973.049805,9128.349609,8904.549805,9111.900391,9111.900391,742100
11-04-20,8973.049805,9128.349609,8904.549805,9111.900391,9111.900391,742100
12-04-20,8973.049805,9128.349609,8904.549805,9111.900391,9111.900391,742100
13-04-20,9103.950195,9112.049805,8912.400391,8993.849609,8993.849609,644000
14-04-20,9103.950195,9112.049805,8912.400391,8993.849609,8993.849609,644000
15-04-20,9196.400391,9261.200195,8874.099609,8925.299805,8925.299805,879100
16-04-20,8851.25,9053.75,8821.900391,8992.799805,8992.799805,719400
17-04-20,9323.450195,9324,9091.349609,9266.75,9266.75,684200
